200754_x_at,217879_at,210616_s_at,212718_at,209140_x_at,209140_x_at,222607_s_at,216526_x_at,217913_at,1554078_s_at,212870_at,212239_at,target
13.565,11.021,10.878,12.847,14.975,14.975,10.371,15.303,9.962,10.837,10.002,10.571,DLBCL
13.847,10.44,10.327,13.603,14.808,14.808,11.539,14.483,9.222,12.053,10.648,9.656,DLBCL
13.127,10.585,11.084,12.489,14.493,14.493,11.856,14.733,10.508,10.998,10.356,10.752,DLBCL
13.48,10.664,11.045,12.574,15.197,15.197,11.175,15.198,10.074,10.848,10.129,10.37,DLBCL
13.535,10.357,10.57,12.559,14.413,14.413,10.275,14.453,9.533,10.858,9.751,10.199,DLBCL
12.973,9.938,10.737,12.648,15.363,15.363,11.655,15.157,10.055,11.931,10.19,8.998,DLBCL
13.753,10.61,10.75,13.192,14.386,14.386,11.212,14.478,10.241,11.243,10.1,9.911,DLBCL
13.736,10.372,10.672,12.501,15.144,15.144,10.757,15.433,10.005,10.584,10.478,10.604,DLBCL
13.484,10.786,11.096,13.047,15.059,15.059,10.973,15.26,10.261,11.113,10.254,9.906,DLBCL
13.806,10.397,10.939,13.007,14.943,14.943,11.167,15.226,9.656,11.264,9.881,9.417,DLBCL
13.483,10.412,10.556,12.433,14.84,14.84,10.74,14.926,10.525,10.986,10.485,10.296,DLBCL
13.742,10.61,10.618,12.845,14.972,14.972,11.012,15.174,10.268,10.897,10.072,10.511,DLBCL
12.845,10.46,10.548,12.864,15.113,15.113,10.457,15.359,9.811,10.319,10.396,10.911,DLBCL
13.347,10.477,10.837,12.263,14.782,14.782,10.343,15,10.52,10.884,10.66,10.17,DLBCL
13.75,10.754,11.14,12.916,14.755,14.755,11.673,14.99,10.547,11.569,10.186,10.07,DLBCL
13.666,10.524,10.882,12.948,14.913,14.913,10.793,14.995,9.845,11.134,10.663,10.278,FL
10384.8,969.8,978,7545.2,26387.7,26387.7,1281.7,32148.5,939.5,1105.4,1637.2,1708.6,FL
8947.4,787.1,2205.1,9670.4,40261,40261,1489,45427.5,1307.1,2221.2,2455.5,2411.6,FL
7138.6,1281.4,2321.6,9502.7,36126.6,36126.6,1670.5,32990,1049.2,1836.4,1785,1683.9,FL
9033.3,1413.2,2062.6,9883.6,29793.9,29793.9,1395.2,30604,1168,1591.9,1586.9,1371.2,FL
10159.4,1119.9,1531.4,13007.8,41109.6,41109.6,1567.9,41455.9,1224.5,1712.7,1509.9,2274.6,FL
7905,1064.5,1913.5,12273.3,37003.2,37003.2,1753.7,36762.7,1149.5,1484.2,2186.9,2305.3,FL
13250,1284.9,2364.9,5955.7,36649.7,36649.7,1213.1,35656.2,1958.1,3201.7,1475.3,1540.7,FL
